,$,ident,),(,null,string_constant,float_constant,int_constant,%,/,*,-,+,!=,==,>=,<=,>,<,new,;,for,else,if,ident_func,return,read,print,",",=,],[,string,float,int,break,},{,def
EXPRESSION',,,EXPRESSION' → ε,,,,,,,,,,,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,EXPRESSION' → LOGICALCOMP NUMEXPRESSION,,EXPRESSION' → ε,,,,,,,,,,,,,,,,,,
NUMOPSUM,,,,,,,,,,,,NUMOPSUM → -,NUMOPSUM → +,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMOPMULT,,,,,,,,,NUMOPMULT → %,NUMOPMULT → /,NUMOPMULT → *,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMEXPRESSION,,NUMEXPRESSION → TERM NUMEXPRESSION',,NUMEXPRESSION → TERM NUMEXPRESSION',NUMEXPRESSION → TERM NUMEXPRESSION',NUMEXPRESSION → TERM NUMEXPRESSION',NUMEXPRESSION → TERM NUMEXPRESSION',NUMEXPRESSION → TERM NUMEXPRESSION',,,,NUMEXPRESSION → TERM NUMEXPRESSION',NUMEXPRESSION → TERM NUMEXPRESSION',,,,,,,,,,,,,,,,,,,,,,,,,,
NUMEXPRESSION',,,NUMEXPRESSION' → ε,,,,,,,,,NUMEXPRESSION' → NUMOPSUM TERM NUMEXPRESSION',NUMEXPRESSION' → NUMOPSUM TERM NUMEXPRESSION',NUMEXPRESSION' → ε,NUMEXPRESSION' → ε,NUMEXPRESSION' → ε,NUMEXPRESSION' → ε,NUMEXPRESSION' → ε,NUMEXPRESSION' → ε,,NUMEXPRESSION' → ε,,,,,,,,,,NUMEXPRESSION' → ε,,,,,,,,
TERM,,TERM → UNARYEXPR TERM',,TERM → UNARYEXPR TERM',TERM → UNARYEXPR TERM',TERM → UNARYEXPR TERM',TERM → UNARYEXPR TERM',TERM → UNARYEXPR TERM',,,,TERM → UNARYEXPR TERM',TERM → UNARYEXPR TERM',,,,,,,,,,,,,,,,,,,,,,,,,,
TERM',,,TERM' → ε,,,,,,TERM' → NUMOPMULT UNARYEXPR TERM',TERM' → NUMOPMULT UNARYEXPR TERM',TERM' → NUMOPMULT UNARYEXPR TERM',TERM' → ε,TERM' → ε,TERM' → ε,TERM' → ε,TERM' → ε,TERM' → ε,TERM' → ε,TERM' → ε,,TERM' → ε,,,,,,,,,,TERM' → ε,,,,,,,,
UNARYEXPR,,UNARYEXPR → FACTOR,,UNARYEXPR → FACTOR,UNARYEXPR → FACTOR,UNARYEXPR → FACTOR,UNARYEXPR → FACTOR,UNARYEXPR → FACTOR,,,,UNARYEXPR → NUMOPSUM FACTOR,UNARYEXPR → NUMOPSUM FACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTOR,,FACTOR → LVALUE,,FACTOR → ( NUMEXPRESSION ),FACTOR → null,FACTOR → string_constant,FACTOR → float_constant,FACTOR → int_constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE,,LVALUE → ident LVALUE',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE',,,LVALUE' → ε,,,,,,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,LVALUE' → ε,,LVALUE' → ε,,,,,,,,,LVALUE' → ε,LVALUE' → ε,LVALUE' → ARRAYSIZEEXP,,,,,,,
